word_freq_free,word_freq_money,word_freq_offer,email_length,spam
3.06,4.81,3.08,144,1
0.58,3.9,1.25,236,1
0.93,0.12,2.93,182,0
1.55,3.03,4.77,494,1
3.53,1.7,4.18,133,1
0.16,3.29,2.46,445,1
4.04,1.21,2.51,154,1
0.13,3.25,2.37,118,1
2.16,1.82,2.85,446,1
1.46,4.86,0.49,61,1
0.44,3.45,3.85,145,1
2.62,3.52,3.48,334,1
1.56,1.6,2.33,298,1
4.54,1.33,1.99,102,1
2.73,0.2,1.43,443,1
1.06,1.69,1.58,217,0
0.91,4.71,0.85,379,1
3.04,4.54,4.05,142,1
1.87,4.04,4.7,227,1
4.02,1.4,0.13,171,1
4.47,1.13,1.8,226,1
0.93,0.12,2.93,182,0
3.66,1.59,4.57,429,1
0.92,1.62,2.78,92,1
3.65,0.51,2.77,452,1
0.44,3.45,3.85,145,1
3.53,1.7,4.18,133,1
4.85,1.11,1.93,114,1
4.08,3.17,4.81,111,1
2.47,1.19,0.2,416,0
0.92,1.62,2.78,92,1
0.99,4.49,0.39,322,1
3.18,2.84,2.37,74,1
3.65,1.75,3.48,417,1
1.83,1.5,2.59,302,1
2.57,2.51,3.51,386,1
4.02,1.4,0.13,171,1
4.33,4.3,4.83,476,1
3.57,3.46,3.79,272,1
4.04,1.21,2.51,154,1
2.36,0.8,1.24,333,1
4.33,4.3,4.83,476,1
0.98,1.93,1.08,201,0
1.63,0.69,0.43,239,0
0.92,2.95,2.95,406,1
2.57,2.51,3.51,386,1
3.57,3.46,3.79,272,1
0.16,3.29,2.46,445,1
0.61,1.84,4.45,124,1
0.54,4.25,0.49,148,1
1.78,4.39,3.19,418,1
1.0,3.05,3.49,264,1
0.93,0.12,2.93,182,0
4.14,4.62,2.7,317,1
1.52,2.59,4.68,93,1
0.03,4.5,0.13,418,1
0.33,0.72,4.34,139,0
4.02,1.4,0.13,171,1
0.32,4.49,1.4,445,1
3.86,3.63,2.04,266,1
3.57,3.46,3.79,272,1
0.81,2.51,4.28,91,1
2.96,0.26,1.8,139,1
4.16,0.6,4.26,466,1
3.31,4.18,0.18,326,1
4.83,4.93,2.56,164,1
0.78,2.14,4.64,494,1
3.12,0.42,3.57,226,1
3.17,0.98,0.35,447,0
0.37,2.65,3.98,404,1
1.56,1.6,2.33,298,1
2.28,1.42,4.39,291,1
2.71,3.3,4.88,62,1
3.54,2.55,4.27,317,1
4.61,0.87,2.61,85,1
0.23,1.39,1.47,313,0
4.04,2.46,0.81,472,1
1.14,4.46,1.87,88,1
0.78,1.14,0.08,466,0
4.46,3.23,4.7,212,1
2.7,0.89,2.88,264,1
0.33,0.72,4.34,139,0
0.93,0.12,2.93,182,0
1.4,1.29,3.63,232,0
2.62,3.52,3.48,334,1
2.47,1.19,0.2,416,0
1.45,3.97,2.52,230,1
2.73,0.2,1.43,443,1
0.1,2.09,1.47,372,1
1.55,3.03,4.77,494,1
3.93,0.18,3.7,84,1
4.14,4.62,2.7,317,1
4.44,0.03,2.1,314,1
1.63,0.05,3.69,282,1
0.23,4.68,3.11,200,1
1.0,3.05,3.49,264,1
2.73,0.2,1.43,443,1
3.86,3.63,2.04,266,1
0.33,0.72,4.34,139,0
2.14,3.73,3.52,422,1
4.54,1.33,1.99,102,1
0.13,3.25,2.37,118,1
1.87,4.04,4.7,227,1
3.06,4.81,3.08,144,1
0.81,2.51,4.28,91,1
2.99,3.23,0.64,148,1
0.78,2.14,4.64,494,1
3.57,3.46,3.79,272,1
4.32,3.21,2.75,68,1
0.37,2.65,3.98,404,1
3.85,3.56,0.23,388,1
0.78,1.14,0.08,466,0
3.18,2.84,2.37,74,1
3.66,1.59,4.57,429,1
4.7,2.56,4.11,276,1
1.46,2.49,0.7,435,0
0.16,3.29,2.46,445,1
4.7,2.56,4.11,276,1
1.52,3.36,3.99,440,1
4.08,3.17,4.81,111,1
4.08,3.17,4.81,111,1
1.65,0.81,3.3,149,1
1.52,2.59,4.68,93,1
1.55,3.03,4.77,494,1
0.37,4.49,0.87,391,1
0.03,4.5,0.13,418,1
0.38,3.16,3.13,158,1
1.87,4.04,4.7,227,1
4.85,3.39,0.15,457,1
